,ask,ask,ask,ask,bid,bid,bid,bid,bid_vol,ask_vol
,open,high,low,close,open,high,low,close,bid_vol,ask_vol
time,,,,,,,,,,
2018-01-31 13:45:00+00:00,0.74136,0.74136,0.74136,0.74136,0.74144,0.74144,0.74144,0.74144,1.87000000476837,1.0
2018-01-31 13:45:01+00:00,0.74135,0.74135,0.74135,0.74135,0.74142,0.74142,0.74142,0.74142,1.0,1.5
2018-01-31 13:45:02+00:00,0.74134,0.74134,0.74134,0.74134,0.74142,0.74142,0.74142,0.74142,1.0,1.5
2018-01-31 13:45:03+00:00,0.74132,0.74132,0.74131,0.74131,0.74139,0.74139,0.74139,0.74139,3.25,3.25
2018-01-31 13:45:04+00:00,0.74131,0.74131,0.74131,0.74131,0.74139,0.74139,0.74139,0.74139,0.0,0.0
2018-01-31 13:45:05+00:00,0.74131,0.74131,0.74129,0.74129,0.74137,0.74137,0.74136,0.74136,2.12000000476837,2.0
2018-01-31 13:45:06+00:00,0.74127,0.74127,0.74127,0.74127,0.74136,0.74136,0.74136,0.74136,1.0,3.0
2018-01-31 13:45:07+00:00,0.74127,0.74127,0.74127,0.74127,0.74136,0.74136,0.74136,0.74136,0.0,0.0
2018-01-31 13:45:08+00:00,0.74127,0.74127,0.74127,0.74127,0.74135,0.74135,0.74135,0.74135,1.5,1.6900000572204599
2018-01-31 13:45:09+00:00,0.74126,0.74127,0.74126,0.74127,0.74135,0.74135,0.74133,0.74133,3.37000000476837,4.940000057220461
2018-01-31 13:45:10+00:00,0.74125,0.74125,0.7412,0.74123,0.74132,0.74132,0.74128,0.7413,7.809999942779539,8.75000011920929
2018-01-31 13:45:11+00:00,0.74124,0.74125,0.74124,0.74125,0.74133,0.74133,0.74133,0.74133,2.5,3.19000005722046
2018-01-31 13:45:12+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:13+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:14+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:15+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:16+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:17+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:18+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:19+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,1.5,1.0
2018-01-31 13:45:20+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:21+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,1.0,1.0
2018-01-31 13:45:22+00:00,0.74125,0.74125,0.74125,0.74125,0.74133,0.74133,0.74133,0.74133,0.0,0.0
2018-01-31 13:45:23+00:00,0.74126,0.74126,0.74126,0.74126,0.74133,0.74133,0.74133,0.74133,1.0,1.0
2018-01-31 13:45:24+00:00,0.74127,0.74127,0.74127,0.74127,0.74133,0.74133,0.74133,0.74133,1.0,1.0
2018-01-31 13:45:25+00:00,0.74127,0.74127,0.74127,0.74127,0.74135,0.74135,0.74135,0.74135,1.5,1.0
2018-01-31 13:45:26+00:00,0.74126,0.74126,0.74126,0.74126,0.74135,0.74135,0.74132,0.74132,2.0,2.0
2018-01-31 13:45:27+00:00,0.74125,0.74125,0.74125,0.74125,0.74132,0.74132,0.74132,0.74132,1.0,2.25
2018-01-31 13:45:28+00:00,0.74123,0.74123,0.7411800000000001,0.7411800000000001,0.74128,0.74128,0.74125,0.74126,4.61000001430511,4.20000004768372
2018-01-31 13:45:29+00:00,0.74116,0.74116,0.74116,0.74116,0.74125,0.74125,0.74125,0.74125,1.0,4.13000011444092
2018-01-31 13:45:30+00:00,0.74117,0.74117,0.74117,0.74117,0.74125,0.74125,0.74125,0.74125,1.0,1.0
